"StrId","Materials","Openings","Condition","BatInhabitation","Lat","Lon","BuildingNum","BatSuit"
"LACA","The building is composed of painted boards with a tar and stone roof.","There appear to be no openings in the building.","The building is well maintained, and is inhabitted throughout the summer by people.","There is no evidence of bats inhabitting this building.",43.93832,-110.64184,NA,0
"SHCA","The building is a log cabin with shingles composing the roof.","There appear to be no openings that would allow a bat to enter the interior of the cabin.","The cabin is well maintained and inhabited by people throughout the summer.","There is no evidence of bats inhabiting this building.",43.93914,-110.64211,NA,0
"TACA","The cabin is made of logs and chinking with a corrugated tin roof.","There appear to be no openings in the structure through which a bat may enter.","The building is well maintained, and is inhabitted by people throughout the summer.","There is no evidence of bats inhabiting this building.",43.9394,-110.64202,NA,0
"BARE","Wood board walls with shaker roof.","There appears to be no major openings in the building.","The building is no longer inhabited, and is in relatively good condition.  Bat box on south side of structure.","There was no evidence of bat inhabitation on the exterior of the structure.",43.637756,-110.759459,NA,0
"BC42","Synthetic siding with shingled roof.","There are no major openings in the building.","The building is used for housing, and is in very good condition.","There was no evidence of bat inhabitation.",43.687885,-110.737118,1455,0
"BC4P","Wood siding walls with shingled roof.","There are no major openings in the building.","The building is used for housing, and is in good condition.","There was no evidence of bat inhabitation.",43.688502,-110.736111,1454,0
"BCD4","Wood board siding with standing seam roof.","There are no major openings in this building.","The building is used for housing, and is in good condition.","There was no evidence of bat inhabitation.",43.688346,-110.735622,1447,0
"BCR1","Log walls as well as wood board walls with standing seam roof.","Some logs are cracked from drying.","The building is used for housing, and is in good condition.","Evidence of Bat Inhabitation:",43.687496,-110.737522,1407,0
"BCR2","Log walls as well as wood board walls with standing seam roof.","Some logs are cracked from drying.","The building is used for housing, and is in good condition.","There was no evidence of bat inhabitation.",43.687688,-110.737773,1406,0
"BCR4","Chinked log walls as well as wood board walls with shake shingle roof.","There are some small gaps between shake shingles.  The roof cap has pulled away from the structure in some spots.  There are some small gaps between eves as well as a strip of screen above the eves for ventilation.  Coarse screen is used to patch various holes around the structure.  The gap where screen is above the eves on some sides of the structure is filled with small boards where there is no screen.","The structure is used for housing, and is in relatively good condition.","There was no evidence of bat inhabitation.",43.686457,-110.737471,7,0
"BCR7","Chinked log walls as well as wood board walls with shake shingle roof.","A vent above the eves is sealed with screen or shake shingles.","The building is used as housing, and is in good condition.","There was no evidence of bat inhabitation.",43.685551,-110.735675,2,0
"CE01","Overlapping logs and board walls with standing seam roof.","This building appears to be relatively tight, with no major openings in the structure.","The building is inhabited, and is in good condition.","There was no evidence of bat inhabitation.",43.911366,-110.635081,1126,0
"CE07","Synthetic board walls with standing seam roof.","There appears to be no openings in this structure.","This building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.912527,-110.636185,1415,0
"CE08","Synthetic board walls with standing seam roof.","There was one corner of the building that had a small opening patched with a piece of metal.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.912756,-110.63614,1414,0
"CE10","Vinyl siding with standing seam roof.","There appeared to be no openings in the structure.","The building is inhabited, and it is in very good condition.","There was no evidence of bat inhabitation.",43.913277,-110.636156,1424,0
"CE11","Vinyl siding walls with standing seam roof.","There appeared to be no openings in the structure.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.913391,-110.636454,1425,0
"CE12","Vinyl siding walls with standing seam roof.","There appeared to be no openings in the structure.","The building is inhabited, and is in very good condition.","There was no evidence of bat inhabitation.",43.913475,-110.636887,1426,0
"CE13","Synthetic board walls with standing seam roof.","There appears to be no major openings in this structure.","The building is in very good condition, and is inhabited.","There was no evidence of bat inhabitation.",43.912568,-110.636794,1413,0
"CE14","Synthetic board walls with standing seam roof.","There appears to be no openings in this structure.","The building is inhabited, and is in good condition.","There was no evidence of bat inhabitation.",43.912568,-110.637137,1412,0
"CE15","Vinyl siding with shingled roof.","The flashing on the edges of the roof creates gaps that may act as night roosts.  There are no major openings to the interior of the structure.","The building is in good condition, and is inhabited.","There was some guano on various walls of the building in small quantities.  These spots were below the small gaps created by the flashing.",43.912134,-110.637611,262,0
"CE16","Vinyl siding walls with shingled roof.","The flashing on the edges of the roof creates gaps that may act as night roosts.  There are no major openings to the interior of the structure.","The building is in good condition, and is inhabited.","There was some guano on various walls of the building in small quantities.  These spots were below the small gaps created by the flashing, or below porch roofs.",43.911758,-110.637643,264,0
"CE17","Vinyl siding walls with shingled roof.","The flashing on the edges of the roof creates gaps that may act as night roosts.  There are no major openings to the interior of the structure.","The building is inhabited, and is in good condition.","There was some guano on various walls of the building in small quantities.  These spots were below the small gaps created by the flashing, or below porch roofs.",43.911683,-110.637363,265,0
"CE18","Vinyl siding walls with shingled roof.","The flashing on the edges of the roof creates gaps that may act as night roosts.  There are no major openings to the interior of the structure.","The building is inhabited, and is in good condition.","There was some guano on various walls of the building in small quantities.  These spots were below the small gaps created by the flashing, or below porch roofs.",43.911615,-110.636951,263,0
"CE20","Wood board walls with standing seam roof.","There are some small gaps between boards in the eves that do not afford access to the interior of the structure.","The building is inhabited, and is in good condition.","There was some guano below the eves, but in small quantities and scattered along the building.",43.91156,-110.636266,1111,0
"CE21","Vinyl siding walls with shingled roof.","There are no openings in the building, but there are overlapping materials and cracks that may provide night roosts for bats.","The building is inhabited, and in good condition.","There are small quantities of guano scattered around the building below small crack and overlaps of material that probably act as night roosts.",43.911743,-110.638786,1427,0
"CE22","Vinyl siding walls with shingled roof","There appeared to be no openings in this building, but there are overlapping materials and cracks that may provide night roosts for bats.","The building is inhabited, and is in good condition.","There are small quantities of guano scattered around the building below small crack and overlaps of material that probably act as night roosts.",43.911141,-110.638102,1443,0
"CE23","Overlapping log walls with standing seam roof.","In the porch ceiling were multiple holes that lead to foam board.  There are some places above the eves where a board has pulled away and created a small gap.  There is also a gap between the eves and walls that leaves a relatively closed area on the exterior.","The building is inhabited, and is in relatively good condition.","There was some guano around the structure, but in small quantities and in no central location.",43.911471,-110.637912,272,0
