Light ID,Y,X,Position,Brightness Index Score,Color,Height,Directions Projected,Distance Cast,Building #,Switch Activated?,Other Info
BC01,43.68811,110.73683,West most light illuminating the southwest side porch,3,Yellow-white,about 3 meters,"E ,S ,W",25 meters,1446,X,
BC02,43.68808,110.73685,East most light illuminating the southwest side porch,3,Yellow-white,about 3 meters,"E, S, W",25 meters,1446,X,
BERO01,43.93970,110.64348,On the peak of the roof above the south lab entrance,3,Blue-white,about 3 meters,"E, S, W",30 meters,1345,,
BERO02,43.93970,110.64352,The light is below the roof of the east entrance to Berol Lodge,1,Yellow-white,about 1.5 meters,"N, E, S",15 meters,1345,,
CBBS01,43.90146,110.64276,South most light fixture on the northeast side of the structure,3,Orange,about 4 meters,"E, SE, NW",40 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS02,43.90155,110.64281,Middle light fixture on the northeast side of the structure,3,Orange,about 4 meters,"E, SE, NW",40 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS03,43.90161,110.64280,North most light fixture on the northeast side of the structure,3,Orange,about 4 meters,"E, SE, NW",40 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS04,43.90168,110.64282,East most light fixture on the northwest side of the structure,3,Yellow-white,about 4 meters,"N, NE, SW",40 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS05,43.90172,110.64300,West most light fixture on the northwest side of the structure,3,Yellow-white,about 4 meters,"N, NE, SW",40 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS06,43.90173,110.64311,North most light fixture on the southwest side of the structure beneath the porch roof,3,Yellow-white,about 4 meters,"N, SE, NW",50 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS07,43.90166,110.64317,South most light fixture on the southwest side of the structure beneath the porch roof,3,Yellow-white,about 4 meters,"N, SE, NW",50 meters,N/A (Colter Bay Bait/Rental Shop),,
CBBS08,43.90141,110.64312,South most light fixture on the southwest side of the structure,3,Yellow-white,about 4 meters,"N, SE, NW",30 meters,N/A (Colter Bay Bait/Rental Shop),,
CBES01,43.91219,110.63479,The only light on the north side of the structure ,2,Orange,about 6 meters,"N, E, W",15 meters,N/A (Colter Bay Emergency Services Garage),,
CBES02,43.91213,110.63480,The only light on the west side of the structure,2,Orange,about 7 meters,"N, S, W",15 meters,N/A (Colter Bay Emergency Services Garage),,
CBFR01,43.91230,110.63525,The lamp on the pole on the south east corner of the building,3,Blue-white,about 8 meters,"N, E, S, W",20 meters,241,,
CBGP01,43.91356,110.63521,The only light on the east side of the structure,1,Yellow-white,about 2.5 meters,"N, E, S",10 meters,N/A (Colter Bay Gas Pump),,
CBGS01,43.90503,110.64111,The north most light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS02,43.90512,110.64096,The second from the north light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS03,43.90501,110.64105,The third from the north light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS04,43.90487,110.64123,The fourth from the north light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS05,43.90477,110.64127,The fifth from the north light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS06,43.90470,110.64130,The south most light fixture on the east side of the structure,3,Orange,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,
CBGS07,43.90496,110.64156,The south most light fixture on the west side of the structure,3,Orange,about 3 meters,"N, S, W",30 meters,N/A (Colter Bay General Store),,
CBGS08,43.90496,110.64152,The second from south light fixture on the west side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS09,43.90496,110.64147,The third from south light fixture on the west side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS10,43.90470,110.64130,The fourth from south light fixture on the west side of the structure,3,White,about 3 meters,"N, E, S",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS11,43.90518,110.64139,The only light on a north facing wall on the west side of the structure,3,Orange,about 3 meters,"N, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS12,43.90516,110.64131,The fifth from south light fixture on the west side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS13,43.90522,110.64132,The north most light fixture on the west side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS14,43.90521,110.64117,The west most light fixture on the north side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBGS15,43.90520,110.64118,The west light fixture under the roof above the restrooms on the north side of the structure,3,Orange,about 3 meters,N,20 meters,N/A (Colter Bay General Store),,
CBGS16,43.90520,110.64113,The east light fixture under the roof above the restrooms on the north side of the structure,3,Orange,about 3 meters,N,20 meters,N/A (Colter Bay General Store),,
CBGS17,43.90519,110.64114,The east most light fixture on the north side of the structure,3,Orange,about 3 meters,"N, S, W",20 meters,N/A (Colter Bay General Store),,"There is a shield on the front of the light that limits the light projected outward, and concentrated light down."
CBNG01,43.91351,110.63441,The light furthest south on the east side of the building,3,Blue-white,about 5.5 meters,E,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG02,43.91371,110.63448,The second light from the south on the east side of the building,4,Blue-white,about 5.5 meters,E,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG03,43.91389,110.63439,The north most light on the east side of the building,4,Blue-white,about 5.5 meters,E,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG04,43.91394,110.63458,The only light on the north side of the building,3,Blue-white,about 5.5 meters,N,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG05,43.91388,110.63471,The north most light on the west side of the building,4,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG06,43.91386,110.63473,The second light from the north on the west side of the building,4,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG07,43.91374,110.63485,The third light from the north on the west side of the building,4,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG08,43.91357,110.63490,The fourth light from the north on the west side of the building,4,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
CBNG09,43.91353,110.63477,The fifth light from the north on the west side of the building,3,Blue-white,about 5.5 meters,W,10 meters,N/A (Auto Shop/Roads Shop),,
